Date,Kp
2018-05-29 00:00:00,7
2018-05-29 01:00:00,7
2018-05-29 02:00:00,7
2018-05-29 03:00:00,17
2018-05-29 04:00:00,17
2018-05-29 05:00:00,17
2018-05-29 06:00:00,7
2018-05-29 07:00:00,7
2018-05-29 08:00:00,7
2018-05-29 09:00:00,7
2018-05-29 10:00:00,7
2018-05-29 11:00:00,7
2018-05-29 12:00:00,10
2018-05-29 13:00:00,10
2018-05-29 14:00:00,10
2018-05-29 15:00:00,7
2018-05-29 16:00:00,7
2018-05-29 17:00:00,7
2018-05-29 18:00:00,7
2018-05-29 19:00:00,7
2018-05-29 20:00:00,7
2018-05-29 21:00:00,3
2018-05-29 22:00:00,3
2018-05-29 23:00:00,3
2018-05-30 00:00:00,3
2018-05-30 01:00:00,3
2018-05-30 02:00:00,3
2018-05-30 03:00:00,3
2018-05-30 04:00:00,3
2018-05-30 05:00:00,3
2018-05-30 06:00:00,7
2018-05-30 07:00:00,7
2018-05-30 08:00:00,7
2018-05-30 09:00:00,3
2018-05-30 10:00:00,3
2018-05-30 11:00:00,3
2018-05-30 12:00:00,7
2018-05-30 13:00:00,7
2018-05-30 14:00:00,7
2018-05-30 15:00:00,10
2018-05-30 16:00:00,10
2018-05-30 17:00:00,10
2018-05-30 18:00:00,17
2018-05-30 19:00:00,17
2018-05-30 20:00:00,17
2018-05-30 21:00:00,17
2018-05-30 22:00:00,17
2018-05-30 23:00:00,17
2018-05-31 00:00:00,13
2018-05-31 01:00:00,13
2018-05-31 02:00:00,13
2018-05-31 03:00:00,13
2018-05-31 04:00:00,13
2018-05-31 05:00:00,13
2018-05-31 06:00:00,7
2018-05-31 07:00:00,7
2018-05-31 08:00:00,7
2018-05-31 09:00:00,13
2018-05-31 10:00:00,13
2018-05-31 11:00:00,13
2018-05-31 12:00:00,17
2018-05-31 13:00:00,17
2018-05-31 14:00:00,17
2018-05-31 15:00:00,37
2018-05-31 16:00:00,37
2018-05-31 17:00:00,37
2018-05-31 18:00:00,43
2018-05-31 19:00:00,43
2018-05-31 20:00:00,43
2018-05-31 21:00:00,30
2018-05-31 22:00:00,30
2018-05-31 23:00:00,30
2018-06-01 00:00:00,30
2018-06-01 01:00:00,30
2018-06-01 02:00:00,30
2018-06-01 03:00:00,37
2018-06-01 04:00:00,37
2018-06-01 05:00:00,37
2018-06-01 06:00:00,47
2018-06-01 07:00:00,47
2018-06-01 08:00:00,47
2018-06-01 09:00:00,43
2018-06-01 10:00:00,43
2018-06-01 11:00:00,43
2018-06-01 12:00:00,47
2018-06-01 13:00:00,47
2018-06-01 14:00:00,47
2018-06-01 15:00:00,37
2018-06-01 16:00:00,37
2018-06-01 17:00:00,37
2018-06-01 18:00:00,23
2018-06-01 19:00:00,23
2018-06-01 20:00:00,23
2018-06-01 21:00:00,23
2018-06-01 22:00:00,23
2018-06-01 23:00:00,23
2018-06-02 00:00:00,27
2018-06-02 01:00:00,27
2018-06-02 02:00:00,27
2018-06-02 03:00:00,40
2018-06-02 03:59:59,40
2018-06-02 04:59:59,40
2018-06-02 05:59:59,27
2018-06-02 06:59:59,27
2018-06-02 07:59:59,27
2018-06-02 08:59:59,20
2018-06-02 09:59:59,20
2018-06-02 10:59:59,20
2018-06-02 11:59:59,27
2018-06-02 12:59:59,27
2018-06-02 13:59:59,27
2018-06-02 14:59:59,23
2018-06-02 15:59:59,23
2018-06-02 16:59:59,23
2018-06-02 17:59:59,40
2018-06-02 18:59:59,40
2018-06-02 19:59:59,40
2018-06-02 20:59:59,37
2018-06-02 21:59:59,37
2018-06-02 22:59:59,37
2018-06-02 23:59:59,27
2018-06-03 00:59:59,27
2018-06-03 01:59:59,27
2018-06-03 02:59:59,17
2018-06-03 03:59:59,17
2018-06-03 04:59:59,17
2018-06-03 05:59:59,10
2018-06-03 06:59:59,10
2018-06-03 07:59:59,10
2018-06-03 08:59:59,17
2018-06-03 09:59:59,17
2018-06-03 10:59:59,17
2018-06-03 11:59:59,27
2018-06-03 12:59:59,27
2018-06-03 13:59:59,27
2018-06-03 14:59:59,27
2018-06-03 15:59:59,27
2018-06-03 16:59:59,27
2018-06-03 17:59:59,20
2018-06-03 18:59:59,20
2018-06-03 19:59:59,20
2018-06-03 20:59:59,17
2018-06-03 21:59:59,17
2018-06-03 22:59:59,17
2018-06-03 23:59:59,10
2018-06-04 00:59:59,10
2018-06-04 01:59:59,10
2018-06-04 02:59:59,13
2018-06-04 03:59:59,13
2018-06-04 04:59:59,13
2018-06-04 05:59:59,13
2018-06-04 06:59:59,13
2018-06-04 07:59:59,13
2018-06-04 08:59:59,13
2018-06-04 09:59:59,13
2018-06-04 10:59:59,13
2018-06-04 11:59:59,7
2018-06-04 12:59:59,7
2018-06-04 13:59:59,7
2018-06-04 14:59:59,10
2018-06-04 15:59:59,10
2018-06-04 16:59:59,10
2018-06-04 17:59:59,13
2018-06-04 18:59:59,13
2018-06-04 19:59:59,13
2018-06-04 20:59:59,7
2018-06-04 21:59:59,7
2018-06-04 22:59:59,7
2018-06-04 23:59:59,17
2018-06-05 00:59:59,17
2018-06-05 01:59:59,17
2018-06-05 02:59:59,13
2018-06-05 03:59:59,13
2018-06-05 04:59:59,13
2018-06-05 05:59:59,10
2018-06-05 06:59:59,10
2018-06-05 07:59:59,10
2018-06-05 08:59:59,10
2018-06-05 09:59:59,10
2018-06-05 10:59:59,10
2018-06-05 11:59:59,17
2018-06-05 12:59:59,17
2018-06-05 13:59:59,17
2018-06-05 14:59:59,17
2018-06-05 15:59:59,17
2018-06-05 16:59:59,17
2018-06-05 17:59:59,17
2018-06-05 18:59:59,17
2018-06-05 19:59:59,17
2018-06-05 20:59:59,7
2018-06-05 21:59:59,7
2018-06-05 22:59:59,7
2018-06-05 23:59:59,7
2018-06-06 00:59:59,7
2018-06-06 01:59:59,7
2018-06-06 02:59:59,7
2018-06-06 03:59:59,7
2018-06-06 04:59:59,7
2018-06-06 05:59:59,3
2018-06-06 06:59:59,3
2018-06-06 07:59:59,3
2018-06-06 08:59:59,3
2018-06-06 09:59:59,3
2018-06-06 10:59:59,3
2018-06-06 11:59:59,13
2018-06-06 12:59:59,13
2018-06-06 13:59:59,13
2018-06-06 14:59:59,23
2018-06-06 15:59:59,23
2018-06-06 16:59:59,23
2018-06-06 17:59:59,37
2018-06-06 18:59:59,37
2018-06-06 19:59:59,37
2018-06-06 20:59:59,17
2018-06-06 21:59:59,17
2018-06-06 22:59:59,17
2018-06-06 23:59:59,27
2018-06-07 00:59:59,27
2018-06-07 01:59:59,27
2018-06-07 02:59:59,17
2018-06-07 03:59:59,17
2018-06-07 04:59:59,17
2018-06-07 05:59:59,10
2018-06-07 06:59:59,10
2018-06-07 07:59:59,10
2018-06-07 08:59:59,10
2018-06-07 09:59:59,10
2018-06-07 10:59:59,10
2018-06-07 11:59:59,3
2018-06-07 12:59:59,3
2018-06-07 13:59:59,3
2018-06-07 14:59:59,7
2018-06-07 15:59:59,7
2018-06-07 16:59:59,7
2018-06-07 17:59:59,10
2018-06-07 18:59:59,10
2018-06-07 19:59:59,10
2018-06-07 20:59:59,13
2018-06-07 21:59:59,13
2018-06-07 22:59:59,13
2018-06-07 23:59:59,7
2018-06-08 00:59:59,7
2018-06-08 01:59:59,7
2018-06-08 02:59:59,20
2018-06-08 03:59:59,20
2018-06-08 04:59:59,20
2018-06-08 05:59:59,7
2018-06-08 06:59:59,7
2018-06-08 07:59:59,7
2018-06-08 08:59:59,17
2018-06-08 09:59:59,17
2018-06-08 10:59:59,17
2018-06-08 11:59:59,13
2018-06-08 12:59:59,13
2018-06-08 13:59:59,13
2018-06-08 14:59:59,3
2018-06-08 15:59:59,3
2018-06-08 16:59:59,3
2018-06-08 17:59:59,3
2018-06-08 18:59:59,3
2018-06-08 19:59:59,3
2018-06-08 20:59:59,3
2018-06-08 21:59:59,3
2018-06-08 22:59:59,3
2018-06-08 23:59:59,10
2018-06-09 00:59:59,10
2018-06-09 01:59:59,10
2018-06-09 02:59:59,7
2018-06-09 03:59:59,7
2018-06-09 04:59:59,7
2018-06-09 05:59:59,10
2018-06-09 06:59:59,10
2018-06-09 07:59:59,10
2018-06-09 08:59:59,10
2018-06-09 09:59:59,10
2018-06-09 10:59:59,10
2018-06-09 11:59:59,3
2018-06-09 12:59:59,3
2018-06-09 13:59:59,3
2018-06-09 14:59:59,7
2018-06-09 15:59:59,7
2018-06-09 16:59:59,7
2018-06-09 17:59:59,13
2018-06-09 18:59:59,13
2018-06-09 19:59:59,13
2018-06-09 20:59:59,0
2018-06-09 21:59:59,0
2018-06-09 22:59:59,0
2018-06-09 23:59:59,7
2018-06-10 00:59:59,7
2018-06-10 01:59:59,7
2018-06-10 02:59:59,10
2018-06-10 03:59:59,10
2018-06-10 04:59:59,10
2018-06-10 05:59:59,0
2018-06-10 06:59:59,0
2018-06-10 07:59:59,0
2018-06-10 08:59:59,0
2018-06-10 09:59:59,0
2018-06-10 10:59:59,0
2018-06-10 11:59:58,3
2018-06-10 12:59:58,3
2018-06-10 13:59:58,3
2018-06-10 14:59:58,10
2018-06-10 15:59:58,10
2018-06-10 16:59:58,10
2018-06-10 17:59:58,7
2018-06-10 18:59:58,7
2018-06-10 19:59:58,7
2018-06-10 20:59:58,0
2018-06-10 21:59:58,0
2018-06-10 22:59:58,0
2018-06-10 23:59:58,10
2018-06-11 00:59:58,10
2018-06-11 01:59:58,10
2018-06-11 02:59:58,3
2018-06-11 03:59:58,3
2018-06-11 04:59:58,3
2018-06-11 05:59:58,3
2018-06-11 06:59:58,3
2018-06-11 07:59:58,3
2018-06-11 08:59:58,3
2018-06-11 09:59:58,3
2018-06-11 10:59:58,3
2018-06-11 11:59:58,10
2018-06-11 12:59:58,10
2018-06-11 13:59:58,10
2018-06-11 14:59:58,13
2018-06-11 15:59:58,13
2018-06-11 16:59:58,13
2018-06-11 17:59:58,3
2018-06-11 18:59:58,3
2018-06-11 19:59:58,3
2018-06-11 20:59:58,10
2018-06-11 21:59:58,10
2018-06-11 22:59:58,10
2018-06-11 23:59:58,17
2018-06-12 00:59:58,17
2018-06-12 01:59:58,17
2018-06-12 02:59:58,17
2018-06-12 03:59:58,17
2018-06-12 04:59:58,17
2018-06-12 05:59:58,3
2018-06-12 06:59:58,3
2018-06-12 07:59:58,3
2018-06-12 08:59:58,3
2018-06-12 09:59:58,3
2018-06-12 10:59:58,3
2018-06-12 11:59:58,7
2018-06-12 12:59:58,7
2018-06-12 13:59:58,7
2018-06-12 14:59:58,3
2018-06-12 15:59:58,3
2018-06-12 16:59:58,3
2018-06-12 17:59:58,3
2018-06-12 18:59:58,3
2018-06-12 19:59:58,3
2018-06-12 20:59:58,7
2018-06-12 21:59:58,7
2018-06-12 22:59:58,7
2018-06-12 23:59:58,3
2018-06-13 00:59:58,3
2018-06-13 01:59:58,3
2018-06-13 02:59:58,7
2018-06-13 03:59:58,7
2018-06-13 04:59:58,7
2018-06-13 05:59:58,10
2018-06-13 06:59:58,10
2018-06-13 07:59:58,10
2018-06-13 08:59:58,3
2018-06-13 09:59:58,3
2018-06-13 10:59:58,3
2018-06-13 11:59:58,3
2018-06-13 12:59:58,3
2018-06-13 13:59:58,3
2018-06-13 14:59:58,3
2018-06-13 15:59:58,3
2018-06-13 16:59:58,3
2018-06-13 17:59:58,20
2018-06-13 18:59:58,20
2018-06-13 19:59:58,20
2018-06-13 20:59:58,20
2018-06-13 21:59:58,20
2018-06-13 22:59:58,20
2018-06-13 23:59:58,13
2018-06-14 00:59:58,13
2018-06-14 01:59:58,13
2018-06-14 02:59:58,10
2018-06-14 03:59:58,10
