Date,Density,Density_model
2020-03-08 00:00:00,3.5718E-14,6.26E-14
2020-03-08 01:00:00,2.90382E-14,3.53E-14
2020-03-08 02:00:00,5.75286E-14,1.16E-13
2020-03-08 03:00:00,2.61424E-14,5.45E-14
2020-03-08 04:00:00,5.71626E-14,9.33E-14
2020-03-08 05:00:00,3.8054E-14,8.07E-14
2020-03-08 06:00:00,2.11177E-14,5.48E-14
2020-03-08 07:00:00,7.1279E-14,1.03E-13
2020-03-08 08:00:00,4.94369E-14,6.53E-14
2020-03-08 09:00:00,3.75858E-14,4.73E-14
2020-03-08 10:00:00,6.98548E-14,1.23E-13
2020-03-08 11:00:00,3.23071E-14,4.82E-14
2020-03-08 12:00:00,5.05884E-14,8.39E-14
2020-03-08 13:00:00,4.79342E-14,1.12E-13
2020-03-08 14:00:00,2.9127E-14,5.28E-14
2020-03-08 15:00:00,4.84421E-14,6.23E-14
2020-03-08 16:00:00,5.06217E-14,9.01E-14
2020-03-08 17:00:00,2.88675E-14,5.7E-14
2020-03-08 18:00:00,6.69417E-14,9.49E-14
2020-03-08 19:00:00,3.12309E-14,6.5E-14
2020-03-08 20:00:00,2.61345E-14,4.82E-14
2020-03-08 21:00:00,8.46923E-14,1.19E-13
2020-03-08 22:00:00,3.56435E-14,5.55E-14
2020-03-08 23:00:00,3.57133E-14,4.02E-14
2020-03-09 00:00:00,5.11053E-14,1.06E-13
2020-03-09 01:00:00,2.77005E-14,5.45E-14
2020-03-09 02:00:00,7.29351E-14,1.05E-13
2020-03-09 03:00:00,4.5064E-14,7.35E-14
2020-03-09 04:00:00,2.83474E-14,5.04E-14
2020-03-09 05:00:00,6.35699E-14,1.19E-13
2020-03-09 06:00:00,4.78034E-14,5.96E-14
2020-03-09 07:00:00,3.36099E-14,4.8E-14
2020-03-09 08:00:00,7.33391E-14,1.22E-13
2020-03-09 09:00:00,3.19278E-14,5.09E-14
2020-03-09 10:00:00,4.96843E-14,9.25E-14
2020-03-09 11:00:00,4.54242E-14,9.94E-14
2020-03-09 12:00:00,3.37834E-14,5.6E-14
2020-03-09 13:00:00,6.35873E-14,6.96E-14
2020-03-09 14:00:00,5.81337E-14,7.83E-14
2020-03-09 15:00:00,2.81614E-14,5.44E-14
2020-03-09 16:00:00,5.80941E-14,1.08E-13
2020-03-09 17:00:00,3.05915E-14,5.68E-14
2020-03-09 18:00:00,3.57265E-14,5.34E-14
2020-03-09 19:00:00,6.83769E-14,1.2E-13
2020-03-09 20:00:00,3.41181E-14,5.02E-14
2020-03-09 21:00:00,5.14446E-14,5.02E-14
2020-03-09 22:00:00,4.59426E-14,9.45E-14
2020-03-09 23:00:00,2.74599E-14,5.6E-14
2020-03-10 00:00:00,7.80607E-14,1.09E-13
2020-03-10 01:00:00,4.03789E-14,6.24E-14
2020-03-10 02:00:00,2.9567E-14,4.11E-14
2020-03-10 03:00:00,8.0764E-14,1.21E-13
2020-03-10 04:00:00,4.05185E-14,5.15E-14
2020-03-10 05:00:00,4.04212E-14,4.88E-14
2020-03-10 06:00:00,5.16555E-14,1.11E-13
2020-03-10 07:00:00,3.62312E-14,5.2E-14
2020-03-10 08:00:00,5.97431E-14,8.91E-14
2020-03-10 09:00:00,3.95056E-14,8.3E-14
2020-03-10 10:00:00,2.98002E-14,5.19E-14
2020-03-10 11:00:00,8.00921E-14,8.17E-14
2020-03-10 12:00:00,3.91151E-14,6.04E-14
2020-03-10 13:00:00,3.33367E-14,5.32E-14
2020-03-10 14:00:00,6.19243E-14,1.17E-13
2020-03-10 15:00:00,3.11932E-14,4.63E-14
2020-03-10 16:00:00,4.10744E-14,5.57E-14
2020-03-10 17:00:00,4.69488E-14,1.1E-13
2020-03-10 18:00:00,3.31313E-14,4.93E-14
2020-03-10 19:00:00,5.10511E-14,5.86E-14
2020-03-10 20:00:00,5.18767E-14,8.88E-14
2020-03-10 21:00:00,2.43836E-14,5.28E-14
2020-03-10 22:00:00,6.76763E-14,1.08E-13
2020-03-10 23:00:00,3.09921E-14,5.86E-14
2020-03-11 00:00:00,3.50597E-14,3.35E-14
2020-03-11 01:00:00,7.15627E-14,1.17E-13
2020-03-11 02:00:00,3.30031E-14,4.88E-14
2020-03-11 03:00:00,4.05184E-14,5.09E-14
2020-03-11 04:00:00,4.82775E-14,9.63E-14
2020-03-11 05:00:00,2.16993E-14,5.03E-14
2020-03-11 06:00:00,4.74117E-14,9E-14
2020-03-11 07:00:00,4.03348E-14,6.88E-14
2020-03-11 08:00:00,3.69439E-14,4.62E-14
2020-03-11 09:00:00,6.6525E-14,1.03E-13
2020-03-11 10:00:00,3.58024E-14,4.67E-14
2020-03-11 11:00:00,4.38243E-14,5.69E-14
2020-03-11 12:00:00,4.79732E-14,1.15E-13
2020-03-11 13:00:00,2.6267E-14,4.38E-14
2020-03-11 14:00:00,3.62486E-14,5.91E-14
2020-03-11 15:00:00,3.15788E-14,9.78E-14
2020-03-11 16:00:00,2.47036E-14,5E-14
2020-03-11 17:00:00,5.66468E-14,6.52E-14
2020-03-11 18:00:00,3.14148E-14,6.52E-14
2020-03-11 19:00:00,2.18775E-14,4.87E-14
2020-03-11 20:00:00,5.31261E-14,1.06E-13
2020-03-11 21:00:00,2.75707E-14,5.19E-14
2020-03-11 22:00:00,2.28633E-14,3.07E-14
2020-03-11 23:00:00,5.12028E-14,1.15E-13
2020-03-12 00:00:00,2.25122E-14,5.49E-14
2020-03-12 01:00:00,4.6292E-14,7.21E-14
2020-03-12 02:00:00,4.02076E-14,9.15E-14
2020-03-12 03:00:00,2.22911E-14,5.63E-14
2020-03-12 04:00:00,8.03902E-14,1.19E-13
2020-03-12 05:00:00,3.43867E-14,7.43E-14
2020-03-12 06:00:00,2.64795E-14,4.52E-14
2020-03-12 07:00:00,5.92691E-14,1.3E-13
2020-03-12 08:00:00,3.59707E-14,5.67E-14
2020-03-12 09:00:00,3.60279E-14,8.23E-14
2020-03-12 10:00:00,3.53528E-14,1.19E-13
2020-03-12 11:00:00,2.06284E-14,5.49E-14
2020-03-12 12:00:00,5.13911E-14,8.38E-14
2020-03-12 13:00:00,4.35142E-14,9.85E-14
2020-03-12 14:00:00,2.36847E-14,5.7E-14
2020-03-12 15:00:00,6.99654E-14,8.59E-14
2020-03-12 16:00:00,4.08024E-14,7.29E-14
2020-03-12 17:00:00,3.5817E-14,5.83E-14
2020-03-12 18:00:00,5.687E-14,1.22E-13
2020-03-12 19:00:00,3.43629E-14,5.73E-14
2020-03-12 20:00:00,4.01703E-14,4.42E-14
2020-03-12 21:00:00,5.50596E-14,1.18E-13
2020-03-12 22:00:00,3.53552E-14,5.35E-14
2020-03-12 23:00:00,6.11213E-14,8.74E-14
2020-03-13 00:00:00,4.94701E-14,8.83E-14
2020-03-13 01:00:00,3.08321E-14,5.57E-14
2020-03-13 02:00:00,6.42108E-14,1.29E-13
2020-03-13 03:00:00,4.39019E-14,7.75E-14
2020-03-13 04:00:00,4.5705E-14,4.15E-14
2020-03-13 05:00:00,8.48034E-14,1.32E-13
2020-03-13 06:00:00,3.49701E-14,5.92E-14
2020-03-13 07:00:00,6.30123E-14,9.38E-14
2020-03-13 08:00:00,5.00095E-14,1.14E-13
2020-03-13 09:00:00,3.37915E-14,5.84E-14
2020-03-13 10:00:00,7.46931E-14,8.99E-14
2020-03-13 11:00:00,5.64098E-14,8.81E-14
2020-03-13 12:00:00,2.80604E-14,5.48E-14
2020-03-13 13:00:00,8.44249E-14,1.09E-13
2020-03-13 14:00:00,2.81547E-14,6.41E-14
2020-03-13 15:00:00,4.07682E-14,7.18E-14
2020-03-13 16:00:00,5.98247E-14,1.28E-13
2020-03-13 17:00:00,3.91466E-14,5.12E-14
2020-03-13 18:00:00,5.41512E-14,5.67E-14
2020-03-13 19:00:00,6.60222E-14,1.13E-13
2020-03-13 20:00:00,3.64033E-14,5.76E-14
2020-03-13 21:00:00,5.79029E-14,1E-13
2020-03-13 22:00:00,3.25685E-14,8.51E-14
2020-03-13 23:00:00,3.65422E-14,5.16E-14
2020-03-14 00:00:00,6.17582E-14,1.07E-13
2020-03-14 01:00:00,3.32991E-14,4.79E-14
2020-03-14 02:00:00,2.99321E-14,3.02E-14
2020-03-14 03:00:00,6.70164E-14,1.1E-13
2020-03-14 04:00:00,2.49455E-14,4.62E-14
2020-03-14 05:00:00,5.51953E-14,7.35E-14
2020-03-14 06:00:00,4.21046E-14,7.95E-14
2020-03-14 07:00:00,2.37481E-14,4.55E-14
2020-03-14 08:00:00,5.51496E-14,7.85E-14
2020-03-14 09:00:00,3.81585E-14,5.75E-14
2020-03-14 10:00:00,3.09865E-14,4.38E-14
2020-03-14 11:00:00,6.11486E-14,1.11E-13
2020-03-14 12:00:00,3.70009E-14,4.07E-14
2020-03-14 13:00:00,4.60157E-14,6E-14
2020-03-14 14:00:00,4.39642E-14,1.05E-13
2020-03-14 15:00:00,2.51878E-14,4.38E-14
2020-03-14 16:00:00,5.16704E-14,4.55E-14
2020-03-14 17:00:00,5.21972E-14,8.2E-14
2020-03-14 18:00:00,2.69461E-14,4.71E-14
2020-03-14 19:00:00,6.47066E-14,8.72E-14
2020-03-14 20:00:00,3.49561E-14,5.33E-14
2020-03-14 21:00:00,3.14252E-14,3.8E-14
2020-03-14 22:00:00,5.76579E-14,1.09E-13
2020-03-14 23:00:00,3.10891E-14,4.75E-14
2020-03-15 00:00:00,2.55667E-14,3.46E-14
2020-03-15 01:00:00,5.25261E-14,1.06E-13
