Date,Btotal,Bx,By,Bz,Vx,Tp,P,SymH
2022-01-31 00:00:00,5.05,0.01,-4.04,-3.03,-478.7,55444,0.63,-15
2022-01-31 00:01:00,4.94,0.88,-3.75,-3.05,-484.7,69040,0.77,-15
2022-01-31 00:02:00,4.95,0.97,-3.79,-3.03,-489.1,65396,0.85,-14
2022-01-31 00:03:00,4.99,0.76,-3.81,-3.12,-487.7,62612,0.75,-14
2022-01-31 00:04:00,4.99,0.34,-3.86,-3.13,-485.3,66084,0.74,-14
2022-01-31 00:05:00,5.01,0.14,-4.08,-2.89,-485.3,66032,0.74,-13
2022-01-31 00:06:00,5.02,-0.06,-4.21,-2.72,-482.2,59897,0.61,-13
2022-01-31 00:07:00,5.01,-0.12,-4.23,-2.65,-481.2,55161,0.63,-13
2022-01-31 00:08:00,4.86,-0.01,-3.41,-3.38,-479.6,65949,0.95,-14
2022-01-31 00:09:00,4.93,-0.1,-3.94,-2.96,-479.5,66766,0.97,-14
2022-01-31 00:10:00,4.95,-0.08,-3.75,-3.22,-480,70997,0.75,-14
2022-01-31 00:11:00,4.91,-0.31,-4.42,-2.09,-480,71136,0.74,-13
2022-01-31 00:12:00,4.93,-0.24,-4.42,-2.1,-473.6,52834,0.77,-14
2022-01-31 00:13:00,4.79,-0.42,-3.2,-3.44,-477.9,40233,0.68,-14
2022-01-31 00:14:00,4.87,0.12,-3.72,-3.1,-481.5,36124,0.65,-14
2022-01-31 00:15:00,4.77,0.04,-4.38,-1.81,-483.8,43681,0.71,-14
2022-01-31 00:16:00,4.71,-0.2,-4.25,-1.96,-481.6,51694,0.74,-14
2022-01-31 00:17:00,4.7,-0.31,-4.19,-2.09,-481.6,51762,0.74,-14
2022-01-31 00:18:00,4.69,-0.44,-4.34,-1.71,-478.6,68424,0.74,-14
2022-01-31 00:19:00,4.66,-0.34,-4.13,-2.1,-478.6,68424,0.74,-14
2022-01-31 00:20:00,4.6,-0.48,-3.69,-2.63,-476.2,56059,0.82,-15
2022-01-31 00:21:00,4.55,-0.19,-3.61,-2.76,-476.2,56059,0.82,-14
2022-01-31 00:22:00,4.62,-0.37,-3.32,-3.17,-477.3,68587,0.84,-15
2022-01-31 00:23:00,4.6,-0.48,-3.24,-3.23,-477,66624,0.83,-15
2022-01-31 00:24:00,4.55,0.07,-3.36,-3.04,-475.8,58103,0.77,-15
2022-01-31 00:25:00,4.53,0.2,-3.43,-2.94,-485.7,47027,0.7,-15
2022-01-31 00:26:00,4.48,0.23,-3.36,-2.94,-484.9,63256,0.73,-16
2022-01-31 00:27:00,4.53,0.37,-3.68,-2.59,-484.2,70680,0.74,-16
2022-01-31 00:28:00,4.54,0.28,-3.99,-2.13,-485.4,57841,0.8,-16
2022-01-31 00:29:00,4.52,0.3,-4.18,-1.69,-485.4,57667,0.8,-16
2022-01-31 00:30:00,4.54,0.59,-4.29,-1.37,-485.6,55654,0.86,-16
2022-01-31 00:31:00,4.56,0.83,-4.24,-1.45,-484.3,62034,0.85,-16
2022-01-31 00:32:00,4.59,0.42,-4.28,-1.55,-483.1,68246,0.83,-16
2022-01-31 00:33:00,4.6,-0.04,-4.29,-1.66,-488.3,52708,0.86,-17
2022-01-31 00:34:00,4.62,-0.01,-4.24,-1.8,-488.2,55442,0.85,-17
2022-01-31 00:35:00,4.58,-0.86,-4.19,-1.6,-488.1,56059,0.84,-16
2022-01-31 00:36:00,4.62,0.26,-4.26,-1.72,-484.9,54088,0.8,-16
2022-01-31 00:37:00,4.64,0.3,-4.32,-1.66,-484.9,54088,0.8,-16
2022-01-31 00:38:00,4.66,0.43,-4.35,-1.61,-483.6,56349,0.84,-16
2022-01-31 00:39:00,4.68,0.26,-4.4,-1.47,-483.6,56428,0.84,-16
2022-01-31 00:40:00,4.7,1.04,-4.23,-1.7,-488.3,62729,0.86,-16
2022-01-31 00:41:00,4.73,0.8,-4.33,-1.71,-485.1,57281,0.82,-16
2022-01-31 00:42:00,4.69,0.76,-4.3,-1.71,-483,53618,0.8,-16
2022-01-31 00:43:00,4.56,0.42,-4.3,-1.43,-488.9,67604,0.91,-16
2022-01-31 00:44:00,4.61,0.95,-4.2,-1.58,-486.8,66249,0.88,-17
2022-01-31 00:45:00,4.62,1.79,-3.98,-1.49,-489.1,67755,0.89,-17
2022-01-31 00:46:00,4.62,1.4,-4.1,-1.61,-490,65727,0.9,-17
2022-01-31 00:47:00,4.65,1.35,-4.13,-1.67,-489.7,57505,0.85,-17
2022-01-31 00:48:00,4.69,1.26,-4.21,-1.63,-489.7,57505,0.85,-17
2022-01-31 00:49:00,4.76,1.48,-4.17,-1.74,-486.2,56761,0.81,-16
2022-01-31 00:50:00,4.83,1.8,-4.12,-1.75,-486.2,56761,0.81,-17
2022-01-31 00:51:00,4.89,1.67,-4.23,-1.76,-484.9,40989,0.83,-16
2022-01-31 00:52:00,4.9,1.77,-4.18,-1.84,-484.8,40365,0.83,-16
2022-01-31 00:53:00,4.9,1.93,-4.01,-2.06,,,,-16
2022-01-31 00:54:00,4.88,2.02,-3.86,-2.19,,,,-16
2022-01-31 00:55:00,4.92,2.02,-3.81,-2.35,,,,-16
2022-01-31 00:56:00,4.89,1.95,-3.79,-2.4,,,,-17
2022-01-31 00:57:00,4.86,1.64,-3.83,-2.49,-480.1,48591,0.83,-17
2022-01-31 00:58:00,4.88,1.57,-3.91,-2.46,-480.1,48591,0.83,-17
2022-01-31 00:59:00,4.89,1.42,-3.9,-2.59,-480.1,48623,0.83,-17
2022-01-31 01:00:00,4.91,1.78,-3.71,-2.66,-482,50845,0.81,-17
2022-01-31 01:01:00,4.92,1.88,-3.55,-2.83,-482,50845,0.81,-17
2022-01-31 01:02:00,4.92,1.79,-3.56,-2.88,-485.6,53044,0.84,-18
2022-01-31 01:03:00,4.9,1.37,-3.77,-2.8,-483.6,56055,0.84,-18
2022-01-31 01:04:00,4.93,1.28,-3.76,-2.91,-481.3,59613,0.83,-18
2022-01-31 01:05:00,4.95,1.36,-3.76,-2.91,,,,-18
2022-01-31 01:06:00,4.97,1.44,-3.74,-2.92,-487,48934,0.78,-18
2022-01-31 01:07:00,4.99,1.32,-3.77,-2.99,-485.9,49578,0.78,-19
2022-01-31 01:08:00,5.03,1.35,-3.77,-3.04,-478.1,54341,0.78,-19
2022-01-31 01:09:00,5.06,1.53,-3.71,-3.07,-480,55166,0.75,-19
2022-01-31 01:10:00,5.07,1.67,-3.8,-2.91,-481.2,55748,0.73,-19
