Date,Btotal,Bx,By,Bz,Vx,Tp,P,SymH
2019-05-11 00:00:00,10.07,3.84,-8.63,-3.44,-354,58509,4.38,-17
2019-05-11 00:01:00,9.91,3.74,-8.59,-3.12,-356.1,48149,4.59,-18
2019-05-11 00:02:00,9.96,3.78,-8.8,-2.56,-356.1,47942,4.59,-19
2019-05-11 00:03:00,9.91,4.06,-8.51,-2.98,-355.5,47026,4.46,-20
2019-05-11 00:04:00,10,3.49,-9.02,-2.51,-355.8,47346,4.42,-20
2019-05-11 00:05:00,10.05,3.69,-9.05,-2.33,-357.2,48866,4.27,-20
2019-05-11 00:06:00,10.06,3.62,-9.12,-2.15,-356.7,45413,4.13,-19
2019-05-11 00:07:00,10.14,4.78,-8.72,-1.75,-356.2,42198,4.01,-19
2019-05-11 00:08:00,9.99,3.56,-9.07,-2.08,-356.2,42198,4.01,-19
2019-05-11 00:09:00,10.02,3.98,-9.02,-1.57,-350.4,47026,4.39,-20
2019-05-11 00:10:00,9.89,4.92,-8.26,-2.23,-350.4,47026,4.39,-20
2019-05-11 00:11:00,9.87,4.18,-8.61,-2.3,-350.2,46173,4.33,-20
2019-05-11 00:12:00,9.9,3.56,-8.85,-2.24,-353.2,45264,4.35,-20
2019-05-11 00:13:00,9.56,3.81,-7.62,-3.85,-356.3,45273,4.49,-20
2019-05-11 00:14:00,9.51,4.11,-6.64,-5.41,-354.6,54545,4.87,-20
2019-05-11 00:15:00,9.63,3.89,-6.88,-5.48,-355.1,54646,4.82,-19
2019-05-11 00:16:00,9.38,6.23,-6.4,-1.57,-356.2,54814,4.71,-20
2019-05-11 00:17:00,9.24,5.98,-6.92,-0.76,-351.3,56798,4.96,-20
2019-05-11 00:18:00,9.38,6.26,-6.36,-2.19,-351.4,56212,4.99,-20
2019-05-11 00:19:00,9.41,6.31,-6.32,-2.88,-351.4,56909,5.06,-20
2019-05-11 00:20:00,9.27,6.56,-6,-2.35,-351,65486,5.34,-21
2019-05-11 00:21:00,9.35,6.01,-5.74,-4.14,-351.5,69164,5.55,-21
2019-05-11 00:22:00,9.45,5.46,-6.02,-4.79,-352.6,58884,5.29,-21
2019-05-11 00:23:00,9.5,5.84,-5.94,-4.12,-354,61219,5.18,-22
2019-05-11 00:24:00,9.47,5.25,-7.63,-1.92,-354,61219,5.18,-22
2019-05-11 00:25:00,9.45,5.68,-5.11,-5.49,,,,-22
2019-05-11 00:26:00,9.4,6.2,-4.91,-5.07,,,,-22
2019-05-11 00:27:00,9.41,6.21,-4.24,-5.64,,,,-22
2019-05-11 00:28:00,9.2,5.89,-3.74,-5.98,,,,-23
2019-05-11 00:29:00,9.44,5.91,-3.82,-6.27,-348.4,54486,4.5,-23
2019-05-11 00:30:00,9.54,6,-3.73,-6.4,-348.4,54486,4.5,-24
2019-05-11 00:31:00,9.57,6.33,-2.68,-6.53,,,,-24
2019-05-11 00:32:00,9.42,6.12,-2.95,-6.28,,,,-25
2019-05-11 00:33:00,9.2,4.27,-6.48,-4.43,,,,-25
2019-05-11 00:34:00,9.32,2.82,-8.35,-2.91,-360.7,57244,5.08,-25
2019-05-11 00:35:00,9.69,5.95,-2.15,-5.89,-360.7,57244,5.08,-25
2019-05-11 00:36:00,9.86,7.3,-0.99,-6.52,,,,-26
2019-05-11 00:37:00,9.87,6.96,-2.88,-6.33,,,,-26
2019-05-11 00:38:00,9.91,6.39,-4.22,-6.28,,,,-26
2019-05-11 00:39:00,9.5,5.67,-5.26,-5.39,,,,-26
2019-05-11 00:40:00,10.66,3.96,-9.09,-3.85,,,,-27
2019-05-11 00:41:00,10.66,2.69,-9.09,-4.84,-361.7,47669,4.54,-28
2019-05-11 00:42:00,10.91,4.1,-9.1,-4.35,-361.7,47669,4.54,-28
2019-05-11 00:43:00,10.96,4.81,-8.93,-4.14,-350.5,37090,3.65,-29
2019-05-11 00:44:00,10.9,4.33,-8.93,-4.46,-350.5,37090,3.65,-30
2019-05-11 00:45:00,10.85,3.91,-8.75,-5.08,-350.5,37090,3.65,-30
2019-05-11 00:46:00,10.71,3.86,-8.48,-5.25,,,,-31
2019-05-11 00:47:00,10.9,4.28,-8.22,-5.71,-353.6,33810,3.56,-32
2019-05-11 00:48:00,10.25,3.98,-7.83,-5.26,-353.6,33810,3.56,-32
2019-05-11 00:49:00,10.12,3.77,-7.73,-5.27,-353.6,33810,3.56,-32
2019-05-11 00:50:00,10.43,3.94,-8.95,-3.22,,,,-33
2019-05-11 00:51:00,10.22,3.09,-8.22,-5.21,,,,-33
2019-05-11 00:52:00,10.54,3.47,-9.11,-3.95,,,,-32
2019-05-11 00:53:00,10.51,3.76,-9.05,-3.62,,,,-31
2019-05-11 00:54:00,10.52,4.09,-9.13,-3.01,,,,-30
2019-05-11 00:55:00,10.66,3.51,-9.94,-1.42,,,,-30
2019-05-11 00:56:00,10.76,4.38,-9.54,-2.26,,,,-30
2019-05-11 00:57:00,10.73,4.21,-9.3,-3.25,-354.3,34443,3.97,-30
2019-05-11 00:58:00,10.58,3.82,-8.91,-4.2,-354.3,34443,3.97,-30
2019-05-11 00:59:00,10.75,4.36,-9.19,-3.42,-353.3,34982,3.92,-31
2019-05-11 01:00:00,10.66,4.43,-8.71,-4.2,-348,37816,3.62,-31
2019-05-11 01:01:00,10.26,4.19,-7.95,-4.83,-350.5,30033,3.7,-32
2019-05-11 01:02:00,10.13,4.02,-8.17,-4.43,-351.6,29609,4.21,-33
2019-05-11 01:03:00,10.26,4.17,-8.65,-3.54,-352.2,29978,4.55,-33
2019-05-11 01:04:00,10.46,4.11,-8.75,-3.96,-351.4,23956,4.57,-33
2019-05-11 01:05:00,10.7,5.1,-7.74,-5.19,-351.4,23910,4.57,-33
2019-05-11 01:06:00,10.64,4.99,-7.7,-5.34,-350.1,22673,4.33,-32
2019-05-11 01:07:00,10.72,5.24,-7.22,-5.92,-350.1,22629,4.33,-31
2019-05-11 01:08:00,10.77,5.71,-7.05,-5.72,,,,-31
2019-05-11 01:09:00,10.54,4.7,-8.12,-4.75,,,,-32
2019-05-11 01:10:00,10.71,4.71,-8.14,-5.1,,,,-32
2019-05-11 01:11:00,10.85,5.03,-6.48,-7,,,,-32
2019-05-11 01:12:00,10.39,5.18,-4.71,-7.65,,,,-33
2019-05-11 01:13:00,10.45,4.04,-8.79,-3.76,-352.1,24127,4.53,-32
2019-05-11 01:14:00,10.68,3.81,-9.77,-1.59,-352.1,24127,4.53,-33
2019-05-11 01:15:00,10.57,4.2,-8.93,-3.51,-352.1,24127,4.53,-33
2019-05-11 01:16:00,10.35,4.23,-7.93,-5.12,,,,-33
2019-05-11 01:17:00,10.53,4.43,-7.83,-5.21,-352.9,28884,4.68,-33
2019-05-11 01:18:00,10.6,4.4,-5.22,-8,-352.9,28884,4.68,-33
2019-05-11 01:19:00,10.74,4.29,-2.95,-9.38,-356.3,28847,4.64,-34
2019-05-11 01:20:00,11.04,4.63,-4.64,-8.8,-360.1,28805,4.59,-33
2019-05-11 01:21:00,11.12,4.91,-5.27,-8.44,-360.1,28805,4.59,-34
2019-05-11 01:22:00,11.26,4.76,-6.17,-8.11,,,,-34
2019-05-11 01:23:00,11.29,4.6,-6.45,-8.02,,,,-34
2019-05-11 01:24:00,11.37,4.96,-6.23,-8.11,-364.6,30059,4.37,-36
