Date,Btotal,Bx,By,Bz,Vx,Tp,P,SymH
2020-03-08 00:00:00,4.13,1.68,-1.52,3.43,,,,5
2020-03-08 00:01:00,4.13,1.68,-1.52,3.43,,,,5
2020-03-08 00:02:00,,,,,,,,5
2020-03-08 00:03:00,4,1.25,-1.42,3.48,,,,5
2020-03-08 00:04:00,4.12,0.82,-1.38,3.73,-361.4,59917,2.09,5
2020-03-08 00:05:00,4.29,1.01,-1.42,3.9,-361.4,59917,2.09,5
2020-03-08 00:06:00,4.12,1.44,-1.7,3.43,-358.3,61720,2.03,5
2020-03-08 00:07:00,4.13,1.55,-1.52,3.44,-358.3,61710,2.03,5
2020-03-08 00:08:00,3.75,1.14,-1.36,3.26,-354.9,59112,2.14,5
2020-03-08 00:09:00,3.91,1.11,-1.03,3.51,-356.1,59085,2.13,4
2020-03-08 00:10:00,4.07,1.63,-1.73,3.28,-356.4,59120,2.12,4
2020-03-08 00:11:00,4.11,1.67,-1.07,3.5,-353,79063,2.54,3
2020-03-08 00:12:00,3.99,0.59,0.36,3.87,-353,79063,2.54,3
2020-03-08 00:13:00,4.35,1.64,-0.47,3.9,-353,79063,2.54,3
2020-03-08 00:14:00,4.28,1.78,-0.26,3.8,-350.3,65247,2.24,3
2020-03-08 00:15:00,4.35,1.03,0.29,4.18,-350.3,65247,2.24,3
2020-03-08 00:16:00,4.31,0.53,0,4.25,-354.1,47944,1.99,3
2020-03-08 00:17:00,4.22,0.75,-0.51,4.1,-354.4,46790,1.97,3
2020-03-08 00:18:00,4.31,1.16,-0.71,4.06,,,,3
2020-03-08 00:19:00,4.1,1.77,-0.37,3.57,-355.4,65168,1.98,4
2020-03-08 00:20:00,3.67,2.35,-0.41,2.75,-355.4,65168,1.98,4
2020-03-08 00:21:00,3.64,2.06,-0.23,2.95,-355.4,65168,1.98,4
2020-03-08 00:22:00,3.95,1.79,-0.86,3.26,-350.6,59120,2.03,4
2020-03-08 00:23:00,4.29,0.4,-1.74,3.86,-353.3,54122,2.04,4
2020-03-08 00:24:00,4.53,1.01,-0.96,4.16,-358.5,44629,2.05,5
2020-03-08 00:25:00,4.55,1.59,-0.09,4.26,,,,5
2020-03-08 00:26:00,4.49,1.37,-0.67,4.19,,,,5
2020-03-08 00:27:00,4.24,1.62,-0.51,3.82,-354.3,48763,1.87,5
2020-03-08 00:28:00,4.13,1.76,-0.6,3.64,-351.7,51763,1.91,5
2020-03-08 00:29:00,4.07,2.04,-0.54,3.46,-348.9,55081,1.95,5
2020-03-08 00:30:00,4.11,1.77,-0.73,3.56,-352.5,54533,2.02,5
2020-03-08 00:31:00,4.05,1.67,-0.83,3.49,-350.3,54255,2.01,5
2020-03-08 00:32:00,4.03,1.99,-0.64,3.39,-348.4,54232,2.01,5
2020-03-08 00:33:00,4.14,2.08,-0.58,3.45,-354.2,53871,2.03,4
2020-03-08 00:34:00,4.15,1.89,-0.71,3.5,-354.2,53871,2.03,4
2020-03-08 00:35:00,4.13,1.66,-0.7,3.6,,,,4
2020-03-08 00:36:00,4.18,1.48,-0.79,3.73,-349.8,57536,2.06,4
2020-03-08 00:37:00,4.08,1.23,-0.77,3.56,-352.6,50413,2,4
2020-03-08 00:38:00,3.81,0.81,-0.64,3.35,-354.1,45388,1.94,3
2020-03-08 00:39:00,3.77,1.07,-0.77,3.27,-359.3,54450,2.27,4
2020-03-08 00:40:00,3.78,1.11,-0.98,3.13,-359.3,54450,2.27,4
2020-03-08 00:41:00,3.77,1.27,-0.9,3.27,,,,4
2020-03-08 00:42:00,3.78,1.46,-0.92,3.2,-350.5,55252,2.11,3
2020-03-08 00:43:00,3.8,0.79,-0.78,3.32,-350.9,55395,2.12,4
2020-03-08 00:44:00,3.84,1.53,-0.52,3.2,-356.2,57313,2.17,4
2020-03-08 00:45:00,3.84,1.86,-0.64,3.11,-357.7,57878,2.18,4
2020-03-08 00:46:00,4.04,1.93,-1.2,3.04,,,,4
2020-03-08 00:47:00,3.99,2.27,-0.69,3.13,-348.3,53151,1.95,4
2020-03-08 00:48:00,4.11,2.44,-0.96,3.07,-348.2,53255,1.95,3
2020-03-08 00:49:00,4.38,2.7,-1.22,3.08,-346.9,55948,1.96,3
2020-03-08 00:50:00,4.08,2.5,-0.75,3.06,-347.4,50326,1.97,3
2020-03-08 00:51:00,4.03,2.27,-0.83,3.12,-347.5,48969,1.97,3
2020-03-08 00:52:00,4.12,2.16,-0.84,3.2,-347.3,58516,2.06,3
2020-03-08 00:53:00,4.24,2.55,-0.42,3.04,-347.3,58516,2.06,3
2020-03-08 00:54:00,4.32,2.32,-0.54,3.25,,,,3
2020-03-08 00:55:00,4.74,2.17,-0.38,3.71,-353.6,52612,2.01,3
2020-03-08 00:56:00,4.32,1.56,-0.71,3.53,-352.5,45501,1.86,3
2020-03-08 00:57:00,4.08,1.32,-0.86,3.53,-351.4,41043,1.76,3
2020-03-08 00:58:00,4.37,1.18,-1.08,3.39,-355.1,70433,2.47,2
2020-03-08 00:59:00,4.14,1.38,-0.76,3.5,-355.1,70433,2.47,2
2020-03-08 01:00:00,4.14,2.27,-0.38,3.27,,,,2
2020-03-08 01:01:00,4.27,2.83,-0.4,3.12,-344.8,55875,1.93,2
2020-03-08 01:02:00,4.29,2.66,-0.45,3.25,-348.8,45330,1.82,2
