Date,Btotal,Bx,By,Bz,Vx,Tp,P,SymH
2019-08-29 00:00:00,2.91,2.29,-1.52,-0.94,-412.9,71452,0.52,-14
2019-08-29 00:01:00,2.98,2.42,-1.55,-0.74,-412.6,65446,0.54,-14
2019-08-29 00:02:00,2.89,2.42,-1.51,-0.5,-413,69745,0.57,-14
2019-08-29 00:03:00,2.83,2.34,-1.52,-0.47,-413.3,70186,0.57,-15
2019-08-29 00:04:00,2.84,2.35,-1.54,-0.41,-413.7,70061,0.57,-15
2019-08-29 00:05:00,2.93,2.45,-1.59,-0.19,-415.7,82601,0.57,-15
2019-08-29 00:06:00,2.91,2.41,-1.63,-0.19,-413.2,82618,0.59,-16
2019-08-29 00:07:00,2.99,2.47,-1.66,-0.18,-410.1,80902,0.62,-16
2019-08-29 00:08:00,3.01,2.48,-1.68,-0.26,-414.9,68818,0.55,-16
2019-08-29 00:09:00,3.06,2.52,-1.7,-0.26,-417.7,57254,0.49,-16
2019-08-29 00:10:00,3.01,2.47,-1.71,-0.26,-418,56022,0.49,-16
2019-08-29 00:11:00,2.98,2.44,-1.69,-0.24,-417,61952,0.47,-16
2019-08-29 00:12:00,2.98,2.42,-1.72,-0.27,-417,61952,0.47,-16
2019-08-29 00:13:00,2.99,2.4,-1.75,-0.26,,,,-16
2019-08-29 00:14:00,2.9,2.47,-1.5,0.08,-419,86431,0.55,-16
2019-08-29 00:15:00,2.92,2.52,-1.47,0.01,-418,76271,0.5,-17
2019-08-29 00:16:00,2.92,2.52,-1.46,-0.1,-417.2,68587,0.47,-17
2019-08-29 00:17:00,2.91,2.52,-1.44,-0.12,-419,93204,0.56,-17
2019-08-29 00:18:00,2.93,2.55,-1.43,-0.23,-418.5,100789,0.56,-17
2019-08-29 00:19:00,2.88,2.41,-1.55,-0.26,-418.4,103038,0.57,-17
2019-08-29 00:20:00,2.87,2.4,-1.53,-0.34,-418.8,97576,0.58,-17
2019-08-29 00:21:00,2.86,2.37,-1.55,-0.38,,,,-17
2019-08-29 00:22:00,2.84,2.35,-1.55,-0.34,,,,-17
2019-08-29 00:23:00,2.84,2.36,-1.54,-0.37,,,,-17
2019-08-29 00:24:00,2.84,2.34,-1.57,-0.37,,,,-16
2019-08-29 00:25:00,2.84,2.37,-1.54,-0.26,-421.1,81887,0.48,-16
2019-08-29 00:26:00,2.83,2.38,-1.5,-0.2,-421.1,81887,0.48,-16
2019-08-29 00:27:00,2.82,2.35,-1.56,-0.08,-421,89536,0.49,-16
2019-08-29 00:28:00,2.84,2.37,-1.55,-0.13,-421,89790,0.49,-16
2019-08-29 00:29:00,2.86,2.34,-1.64,-0.15,-421,90845,0.48,-16
2019-08-29 00:30:00,2.86,2.35,-1.63,-0.12,-420.7,73226,0.46,-16
2019-08-29 00:31:00,2.81,2.28,-1.62,-0.15,-420.4,77328,0.47,-16
2019-08-29 00:32:00,2.77,2.31,-1.5,-0.22,-420.4,78364,0.47,-16
2019-08-29 00:33:00,2.74,2.31,-1.48,-0.04,-421.3,81960,0.5,-16
2019-08-29 00:34:00,2.74,2.33,-1.43,0.05,-424.7,63616,0.47,-16
2019-08-29 00:35:00,2.7,2.32,-1.37,0.05,-427.6,47990,0.43,-16
2019-08-29 00:36:00,2.73,2.34,-1.39,0.02,-427.6,48934,0.43,-16
2019-08-29 00:37:00,2.76,2.35,-1.43,0.03,-420.8,75124,0.47,-16
2019-08-29 00:38:00,2.65,2.33,-1.23,0.3,-419.6,78363,0.46,-16
2019-08-29 00:39:00,2.67,2.38,-1.16,0.38,-426.7,54435,0.44,-16
2019-08-29 00:40:00,2.67,2.38,-1.16,0.38,-426.8,54088,0.44,-16
2019-08-29 00:41:00,2.64,2.38,-1.05,0.44,-426.8,54088,0.44,-16
2019-08-29 00:42:00,2.9,2.46,-1.46,0,-412.7,78364,0.51,-16
2019-08-29 00:43:00,2.9,2.47,-1.43,0.03,-412.7,78364,0.51,-16
2019-08-29 00:44:00,2.91,2.45,-1.47,-0.05,-412.7,78364,0.51,-17
2019-08-29 00:45:00,2.92,2.44,-1.54,-0.1,-420.1,122349,0.61,-17
2019-08-29 00:46:00,2.92,2.43,-1.59,-0.14,-419.6,117940,0.6,-16
2019-08-29 00:47:00,2.95,2.44,-1.64,-0.17,-416.6,92718,0.52,-17
2019-08-29 00:48:00,3.02,2.46,-1.7,-0.38,-417.3,74429,0.45,-16
2019-08-29 00:49:00,3,2.43,-1.65,-0.54,-415.6,104747,0.49,-16
2019-08-29 00:50:00,2.98,2.42,-1.61,-0.61,-414.7,125045,0.49,-16
2019-08-29 00:51:00,3.02,2.45,-1.62,-0.69,-412.8,146699,0.51,-16
2019-08-29 00:52:00,2.92,2.32,-1.57,-0.83,-414.2,108549,0.52,-16
2019-08-29 00:53:00,2.87,2.27,-1.48,-0.9,-414.1,109095,0.53,-16
2019-08-29 00:54:00,2.88,2.26,-1.56,-0.89,,,,-16
2019-08-29 00:55:00,2.89,2.28,-1.55,-0.87,-411.3,113012,0.57,-16
2019-08-29 00:56:00,2.85,2.23,-1.55,-0.89,-411.3,113012,0.57,-16
2019-08-29 00:57:00,2.84,2.22,-1.53,-0.89,-411.3,113012,0.57,-16
2019-08-29 00:58:00,2.85,2.24,-1.52,-0.89,,,,-15
2019-08-29 00:59:00,2.83,2.22,-1.54,-0.86,,,,-16
2019-08-29 01:00:00,2.81,2.17,-1.55,-0.89,,,,-16
2019-08-29 01:01:00,2.81,2.19,-1.53,-0.86,-406.2,100386,0.58,-15
2019-08-29 01:02:00,2.79,2.18,-1.52,-0.86,-406,102423,0.58,-16
