Date,SymH,Density,ap60,F107,MgII
2018-05-29 00:00:00,13,1.99E-14,5,76.6,0.274551
2018-05-29 01:00:00,17,1.99E-14,4,76.6,0.274551
2018-05-29 02:00:00,20,8.72E-14,3,76.6,0.274551
2018-05-29 03:00:00,20,8.50E-14,2,76.6,0.274551
2018-05-29 04:00:00,12,1.87E-14,4,76.6,0.274551
2018-05-29 05:00:00,10,1.10E-13,3,76.6,0.274551
2018-05-29 06:00:00,9,6.11E-14,6,76.6,0.274551
2018-05-29 07:00:00,9,3.50E-14,7,76.6,0.274551
2018-05-29 08:00:00,5,9.32E-14,9,76.6,0.274551
2018-05-29 09:00:00,6,6.35E-15,5,76.6,0.274551
2018-05-29 10:00:00,9,7.96E-15,4,76.6,0.274551
2018-05-29 11:00:00,6,7.39E-14,5,76.6,0.274551
2018-05-29 12:00:00,1,1.52E-14,4,76.6,0.274551
2018-05-29 13:00:00,0,3.51E-14,4,76.6,0.274551
2018-05-29 14:00:00,-3,4.82E-14,4,76.6,0.274551
2018-05-29 15:00:00,0,2.01E-14,5,76.6,0.274551
2018-05-29 16:00:00,2,9.19E-14,3,76.6,0.274551
2018-05-29 17:00:00,1,2.54E-14,5,76.6,0.274551
2018-05-29 18:00:00,0,1.36E-14,4,78.9,0.274551
2018-05-29 19:00:00,1,1.07E-13,2,78.9,0.274551
2018-05-29 20:00:00,-1,8.83E-15,3,78.9,0.274551
2018-05-29 21:00:00,1,2.34E-14,4,78.9,0.274551
2018-05-29 22:00:00,-3,7.39E-14,5,78.9,0.274551
2018-05-29 23:00:00,-3,7.84E-15,2,78.9,0.274551
2018-05-30 00:00:00,-3,4.98E-14,4,78.9,0.274551
2018-05-30 01:00:00,-3,2.62E-14,3,78.9,0.274551
2018-05-30 02:00:00,-1,8.58E-15,3,78.9,0.274551
2018-05-30 03:00:00,2,8.52E-14,3,78.9,0.274551
2018-05-30 04:00:00,2,2.03E-14,3,78.9,0.274551
2018-05-30 05:00:00,3,1.10E-14,3,78.9,0.274551
2018-05-30 06:00:00,2,8.91E-14,2,78.9,0.274551
2018-05-30 07:00:00,2,6.17E-15,2,78.9,0.274551
2018-05-30 08:00:00,3,3.27E-14,4,78.9,0.274551
2018-05-30 09:00:00,5,5.85E-14,4,78.9,0.274551
2018-05-30 10:00:00,5,4.86E-15,5,78.9,0.274551
2018-05-30 11:00:00,6,5.87E-14,4,78.9,0.274551
2018-05-30 12:00:00,5,1.89E-14,3,78.9,0.274551
2018-05-30 13:00:00,3,1.68E-14,3,78.9,0.274551
2018-05-30 14:00:00,3,7.08E-14,0,78.9,0.274551
2018-05-30 15:00:00,8,1.55E-14,3,78.9,0.274551
2018-05-30 16:00:00,9,6.25E-15,3,78.9,0.274551
2018-05-30 17:00:00,14,7.75E-14,2,78.9,0.274551
2018-05-30 18:00:00,10,1.43E-14,4,77,0.274551
2018-05-30 19:00:00,8,4.08E-14,2,77,0.274551
